egrt,surname,first_name,id,simon_id,first_name_alt,surname_alt,date_of_birth,date_of_death,active_beginning,active_ending,guild,occupation_rank_1,occupation_rank_2,occupation_rank_3,occupation_rank_4,books_owned_by,made_instruments_for,made_instruments_designed_by,owned_instruments_by,supplied_instruments_to,used_instruments_by,published_books_by,edited_work_by,wrote_treatise_on_instrument_by,sold_books_by,sold_map_by,published_map_by,translated_books_by,worked_with,partnership_with,studied_with,friend_of,associated_with,visited,see_also,designed_instruments_for,sold_instruments_by,demonstrated_instruments_to,observed_experiment_by,conducted_experiment_with,tested_instruments_by,improved_instruments_designed_by,modified_instrument_by,copied_instrument_by,advertised_by,succeeded_by,son_of,brother_of,nephew_of,apprentice_of,pupil_of,patron_of,relation_of,son_in_law_of,shared_premises_with,lodged_with,referenced_by,recommended_by,disputed_with,rival_of,employed_by,pract_identity,group_id
43.0,Norden,John,6D2A8531,,,,1548,1626,,,,Surveyor,Mapmaker,,,,,,,,,,,,,,,,,,,,,,7EB4B8AA,,,,,,,,,,,,,,,,,,,,,,,,,,,Norden John 6D2A8531 1548 1626,0
44.0,Oliver,Thomas,85A008A5,,,,,,1569,1624,,Mathematician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oliver Thomas 85A008A5 nan nan,0
45.0,Warner,Walter,7E18E83F,,,,1550,1636,,,,Mathematician,,,,,,,,,,,,,,,,,,,,,6D8C5EFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warner Walter 7E18E83F 1550 1636,0
46.0,Davis,John,2741028A,,,,1552,1605,,,,Navigator,Hydrographer,,,,,,,,,,,,,,,,,,,C9C28687,,,,,,,,,,,,,,,,,,,,,,,,,8040A002; 387CA997,8040A002,,,,Davis John 2741028A 1552 1605,0
47.1,Hues,Robert,363253E9,,,,1553,1632,,,,Mathematician,Author,,,,,,,,,,,,,,,,C9C28687,,,,09E8D01D; 7E18E83F; F6051AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hues Robert 363253E9 1553 1632,0
47.2,Ryther,Augustine,EFCA98E5,71,,,,,1576,1595,,Mathematical Instrument maker,Engraver,Mapmaker,,,,,,,,,,,,,,,7EB4B8AA; 78348CA7; F9E7419C; 2566A4F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryther Augustine EFCA98E5 nan nan,0
48.0,Hood,Thomas,F9E7419C,,,,,,1577,1596,,Mathematician,Teacher,Author,,,,,,,,,,,,,,,,,,,,,56D20427,,10C4A6E5,,,,,,,,,,,,,,,,,,,,66EFDA0B,,A69CA147; F5079608,,,Hood Thomas F9E7419C nan nan,0
49.0,Turnbull,Charles,AA65CF9F,,,,1556,1608,,,,Mathematical practitioner,,,,F9E7419C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turnbull Charles AA65CF9F 1556 1608,0
50.0,Polter,Richard,7509D492,,,,,,1578,1605,,Hydrographer,,,,,,,,,,,,,,,,,,,,,,,623A13C1,,,,,,,,,,,,,,,,,,,,,,,,,,,Polter Richard 7509D492 nan nan,0
51.0,Kendall,Abraham,F5079608,,,,,1596,1578,1596,,Navigator,,,,,,,,,,,,,,,,,8040A002,,,,,,363253E9; 09E8D01D; 623A13C1,,,,,,,,,,,,,,,,,,,,,,8040A002; 44F29E47,,,,,Kendall Abraham F5079608 nan 1596,0
52.0,Blagrave,John,E9F785B0,,,,1558,1612,,,,Mathematical practitioner,Author,Surveyor,,8F5E7CD2,,,,,,,,,,,,,,,,8F5E7CD2,,,,,,,,,,,,,,,,,,,,,,,,,13B4485E,,,,,Blagrave John E9F785B0 1558 1612,0
53.0,Wright,Edward,623A13C1,,,,1558,1515,,,,Mathematical practitioner,Teacher,Author,Hydrographer,,,,,,,,,,,,,,44F29E47,,,0BE283D4,,,,,,,,,,,,,,,,,,,,,,,,,EB857C4B,,,,,Wright Edward 623A13C1 1558 1515,0
54.0,Forman,Simon,A69CA147,,,,1553,1611,,,,Astrologer,,,,,,,,,,,,,,,,,,,,,43F98254,,C8FFB168,,,,,,,,,,,,,,,,,,,,,,,,C9C28687,,,Forman Simon A69CA147 1553 1611,0
55.0,Hariot,Thomas,09E8D01D,,,Harriot,1560,1621,,,,Mathematician,Astronomer,Natural philosopher,Author,,,,,,,,,,,,,,363253E9; F6051AFB; 7E18E83F,,,387CA997; C9C28687,,,2D0F71CC,97E827A4,,,,,,,,,,,,,,,,,,,,,,,,,,Hariot Thomas 09E8D01D 1560 1621,0
56.0,Ridley,Mark,EB857C4B,,,,1560,1624,,,,Physician,Author,Natural philosopher,,,,,,,,,,,,,,,,,,623A13C1; 44F29E47,,,,,,,,,,,,,,,,,,,,,,,,,,,66EFDA0B,,,Ridley Mark EB857C4B 1560 1624,0
57.0,Bavin,Thomas,2C04E24A,,,,,,1582/1583,,,Surveyor,,,,,,,,,10C4A6E5; 17CE5F99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bavin Thomas 2C04E24A nan nan,0
58.0,Briggs,Henry,0BE283D4,,,,1561,1630,,,,Mathematician,Teacher,Author,,,,,,,,,,,,,,,,,,56D20427; 623A13C1; 44F29E47; 15A821CA; 3244B04C; 08C47AD0; 707C654A; EBB936B8; 19DE965E,,,,,,,,,,,,,,,,,,,,,,,,,B215AE56; EBB936B8,,,,,Briggs Henry 0BE283D4 1561 1630,0
59.0,Bull,John,B387BD90,72,,,,,1582,,,Mathematical instrument maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA7E7E6E,,,,,Bull John B387BD90 nan nan,0
62.0,Hills,John,BC3B754A,,,,,,1582,,,Surveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA7E7E6E,,,,,Hills John BC3B754A nan nan,3
63.0,Ivye,Paul,8499A3CC,,,,,,1582,1603,,Surveyor,,,,,,,,,,,,,,,,,2D0F71CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivye Paul 8499A3CC nan nan,0
64.0,Lockerson,James,05BE4D49,73,,,,,1582,,,Mathematical instrument maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA7E7E6E,,,,,Lockerson James 05BE4D49 nan nan,0
65.0,Malyn,Ferdinando,C15DC074,,,,,,1582,,,Surveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8F0B9686,,,,,,,,,EA7E7E6E,,,,,Malyn Ferdinando C15DC074 nan nan,0
66.0,Malyn,John,8F0B9686,,,,,,1582,,,Surveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malyn John 8F0B9686 nan nan,4
67.0,Owen,Thomas,9E151E4B,,,,,,1582,,,Surveyor,Councillor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA7E7E6E,,,,,Owen Thomas 9E151E4B nan nan,0
68.0,Read,John,307B99DC,74,,,,,1582,1610,,Mathematical instrument maker,,,,,,,,,,,,,,,,,,959C4301,,,,,,,,,,,,,,,,959C4301,,,,,,,,,FCC2DBFA,,EA7E7E6E; 02219BF8; E9F785B0; BE2FF28E,,,,,Read John 307B99DC nan nan,0
69.0,Reynolds,John,956E7AE7,75,,,,,1582,1636,,Mathematical instrument maker,Master gunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA7E7E6E; 02219BF8,,,,,Reynolds John 956E7AE7 nan nan,5
70.0,Worsop,Edward,EA7E7E6E,,,,,,1582,,,Surveyor,Author,,,,,,,,,,,,,,,,,,,E35F2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worsop Edward EA7E7E6E nan nan,0
71.0,Eldred,William,02FBE4D6,,,,1562,1646,,,,Gunner,Mathematical Practitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C49CB32A,,,,,Eldred William 02FBE4D6 1562 1646,0
72.0,Browne,John,4F54BAB6,,,,,,1583,1592,,Surveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Browne John 4F54BAB6 nan nan,6
73.0,Kynvyn,James,F7F0D336,76,,Kynfin,,,1569,1610,,Mathematical instrument maker,,,,,,2D0F71CC; E9F785B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9851054C (possibly),,,,,,,,,,,,,,,8040A002,Kynvyn James F7F0D336 nan nan,0
74.0,Torporley,Nathaniel,F6051AFB,,,,1564,1632,,,,Mathematical practitioner,,,,,,,,,,,,,,,,,,,,09E8D01D,363253E9; 7E18E83F; 10C4A6E5,,,,,,,,,,,,,,,,,,09E8D01D,,,,,,,,,,,Torporley Nathaniel F6051AFB 1564 1632,0
75.0,Fale,Thomas,D7EAC274,,,,,,1586,1593,,Mathematician,Author,,,,,B86AE26E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B86AE26E,,,,,,,,,Fale Thomas D7EAC274 nan nan,7
76.0,Osborn,Thomas,B86AE26E,81,,,,,1586,1593,,Mathematical instrument maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D7EAC274,,,,,,,,,Osborn Thomas B86AE26E nan nan,0
77.0,Walker,John,96F01BB5,,,,,,1586,1615,,Surveyor,Architect,,,,,,,,,,,,,,,,9A49BB39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walker John 96F01BB5 nan nan,8
78.0,Walker,John,9A49BB39,,,,,,1600,1616,,Surveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96F01BB5,,,,,,,,,,,,,,,Walker John 9A49BB39 nan nan,8
79.0,Molyneux,Emery,C9C28687,82,,,,,1587,1605,,Mathematical instrument maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7509D492,,,,,Molyneux Emery C9C28687 nan nan,0
80.0,Evesham,Epiphanius,A21D08BB,,,,,,1570,1623,,Mathematical instrument maker (?),Engraver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evesham Epiphanius A21D08BB nan nan,0
81.0,Cooke,Francis,1FD844C9,84,,,,,1590,1596,,Mathematical Instrument maker,Navigator,,,,,F9E7419C,,,,,,,,,,,F9E7419C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooke Francis 1FD844C9 nan nan,0
82.0,Crocker,John,7BA241DC,,,,,,1590,1597,,Surveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387CA997,Crocker John 7BA241DC nan nan,9
83.0,Jackson,Christopher,B8DCEDB5,85,,,,,1590,1616,,Mathematical instrument maker,,,,,,19DE965E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19DE965E,,,,,Jackson Christopher B8DCEDB5 nan nan,0
84.0,Norton,Robert,6E152681,,,,,,1590,1635,,Gunner,Mathematician,,,,,,,,,,,,,,,,,,,FD115CE0,,,,,,,,,,,,,,,,,,,956E7AE7,,,,,,54072F69; 2D0F71CC,,,,,Norton Robert 6E152681 nan nan,0
85.0,Paine,Christopher,FCC2DBFA,86,,,,,1590,,,Mathematical instrument maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02219BF8,,,,,Paine Christopher FCC2DBFA nan nan,0
86.0,Parkes,Robert,43F98254,,,,,,1591,,,Navigator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A69CA147,,,,,Parkes Robert 43F98254 nan nan,0
87.0,Prowez,John,C1F99CBC,,,,,,1591,1596,,Gunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prowez John C1F99CBC nan nan,0
88.0,Whitwell,Charles,83A1DCF0,87,,,,,1591,1606,,Mathematical instrument maker,,,,,,F9E7419C; 66EFDA0B; F6051AFB,,,,,,,,,,,,,,,,,E39AF204; 8040A002,,,,,,,,,,,E39AF204 [possibly],,,,,,,,,,,,,,,823E4AD3; 8040A002,Whitwell Charles 83A1DCF0 nan nan,0
89.0,Symonson,Philip,823E4AD3,,,,,,1592,1598,,Surveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Symonson Philip 823E4AD3 nan nan,0
90.0,Drebbel,Cornelius,2766BAF5,89,,,1572,1633,,,,Mathematical instrument maker,,,,,,,,,,,,,,,,,,,,,0BE283D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drebbel Cornelius 2766BAF5 1572 1633,0
91.0,Rathborne,Aaron,19DE965E,,,,1572,1618,,,,Surveyor,,,,,,,,,,,,,,,,,,,,,0BE283D4; B215AE56; F4257A21,,,,,,,,,,,,,,,,,,"F4257A21 [""probably""]",,,,,F44DD406,E9CC1C68,,,,,Rathborne Aaron 19DE965E 1572 1618,0
92.0,Dudley,Robert,8040A002,,,,1573,1649,,,,Mathematical instrument maker,,,,,,,,,,,,,,,,,,,,2741028A,,,,,,,,,,,,,,,,,,,F5079608,,,,,,,,,,,Dudley Robert 8040A002 1573 1649,0
93.0,Fludd,Robert,580212F6,,,,1574,1637,,,,Mathematical instrument maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fludd Robert 580212F6 1574 1637,0
94.0,Oughtred,William,15A821CA,,,,1575,1660,,,,Mathematician,Author,,,,,,,,,,,,,,,,,,,E39AF204; A594A6D9,999F6511; 6D8C5EFE; 34241F0F,,,,,0BE283D4; 707C654A,,,,,,,,,,,,,,,,,,,,,5E88F0A5,,,Oughtred William 15A821CA 1575 1660,0
95.0,Tapp,John,BF2AA502,,,,,,1596,1631,,Teacher,Navigator,Author,,,,,,,,,,,,,,,,,,D784B9A6,,,,,,,,,,,,,,,,,,,,,,,,,,E5FFD65F,,,,Tapp John BF2AA502 nan nan,0
96.0,Wright,Benjamin,764BDC5F,,,,,,1596,1613,,Mathematical instrument maker,,,,,,,,,,,,,,,,,E9F785B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wright Benjamin 764BDC5F nan nan,0
97.0,Gascoyne,John,C8F85B99,,,,,,1597,,,Mathematical practitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gascoyne John C8F85B99 nan nan,0
98.0,Goodwyn,John,F4257A21,113,,Godwyn,,,1597,1600,,Mathematical practitioner,Mathematician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE2FF28E; 19DE965E; 66EFDA0B; A4D6F120,,,,,Goodwyn John F4257A21 nan nan,10
99.0,Reynolds,John,D8D6AC6F,75 [?],,,,,1599,1663,,Master of Mint,,,,,,,,,,,,,,,,,440C0FFD,,,"FD115CE0; 16C51BFA [probably], 6D215B3E [probably]",,,,,,,,,,,,,,,956E7AE7 [probably],,,,F4257A21,,,,,,A4D6F120,,,,,Reynolds John D8D6AC6F nan nan,5
100.0,Bedwell,William,932903F5,,,,,1632,,1632,,Parson,Mathematician,Translator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC1C63D9,,,,,,,,,,,,,Bedwell William 932903F5 nan 1632,0
101.0,Smithson,Robert,26D26454,,,,,,1600,,,Surveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smithson Robert 26D26454 nan nan,11
102.0,Lewis,John,6DA0A13C,90,,,,1621,,1621,,Mathematical instrument maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lewis John 6DA0A13C nan 1621,0
103.0,Speidell,John,B215AE56,,,,,,1600,1634,,Teacher,Mathematician,,,,,,,,,,,,,,,,,,,E39AF204; 959C4301,,,,,,,,,,,,,,,,,,,,,,,,,,19DE965E,,,,Speidell John B215AE56 nan nan,0
104.0,Harflete,Henry,CD4FAB5F,,,,1580,1656,,,,Mathematical practitioner,Astrologer,,,,,,,,,,,,,,,,,,,,91E2BA2F; 9E3995A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harflete Henry CD4FAB5F 1580 1656,0
105.0,Smithson,John,FD115CE0,,,,1580,1631,,,,Hydrographer,,,,,,,,,,,,,,,,,,,,D8D6AC6F; 6E152681; ACED1790; EB3B4BFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smithson John FD115CE0 1580 1631,12
